s,lift,drag
0.1,66.15482137484894,4.869845396321232
0.15000000000000002,66.03462978601829,6.737621663327678
0.2,66.56325119385274,3.655523755575958
0.25,64.73456556271478,5.502960397439985
0.30000000000000004,66.60722135022503,7.734436638654467
0.35,65.21238128588953,6.381706252109969
0.4,68.25144991516387,7.331784038092983
0.45000000000000007,66.39721399772337,4.715574600151808
0.5,66.0279536038237,6.406666241959395
0.55,64.32746528787433,3.890329421081293
0.6,68.91039565798414,6.23521758766124
0.65,67.06111591879338,4.6620141377902415
0.7000000000000001,67.06371269429205,3.5579728416738767
0.75,65.74631934448765,4.863871653812161
0.8,66.5173581140862,9.14076597669894
0.85,65.42853878057197,5.455472738942775
0.9,68.05653695112278,5.462980763583738
0.9500000000000001,66.9521120552218,5.399051524446066
1,68.46357678893959,5.137884141490558
1.05,67.755209213925,5.015691441087031
1.1,67.34477390000141,6.257619265275014
1.1500000000000001,64.23151139897443,5.956173698768155
1.2000000000000002,68.29166904028405,7.257713951572539
1.2500000000000002,65.1756061039687,7.205454544778187
1.3000000000000003,66.71105237407173,6.863864075828534
1.35,70.19201824762139,5.997215697028464
1.4000000000000001,69.36362747087259,6.551433524360027
1.4500000000000002,71.59110134902119,7.867380686614624
1.5000000000000002,66.00566717309145,6.031563737568389
1.5500000000000003,67.09032680890571,6.258337415397998
1.6,64.37852076607938,3.4976835754054196
1.6500000000000001,64.5876799577842,4.621083670954556
1.7000000000000002,66.81277353143788,6.767557681070282
1.7500000000000002,67.17154378667264,3.95496986363875
1.8000000000000003,69.15090997230405,6.098558916212108
1.85,67.91882092154869,5.650304909414377
1.9000000000000001,68.6592631514073,7.464853827336274
1.9500000000000002,66.43352051930987,6.849703792693437
2,69.41325068735382,5.3953529987856275
2.0500000000000003,65.64166074079715,7.611418879686759
2.1,63.862594758913644,6.6493130317176705
2.1500000000000004,69.6381750983375,6.282728075263467
2.2,63.39263088083744,7.9639099373773
2.25,67.92355839124407,6.638245216602712
2.3000000000000003,64.05881960037784,7.91445439174914
2.35,69.40538591964577,5.965285821036729
2.4000000000000004,65.70936674996497,7.151274128092444
2.45,64.7570481889628,7.562720636992355
2.5000000000000004,67.21080432188899,5.2023504629662805
2.5500000000000003,65.92239998502056,5.76061430669801
2.6,66.04301589529659,4.000821200068437
2.6500000000000004,65.85177500300809,6.033010042747234
2.7,66.84917524882034,5.1190049549117935
2.7500000000000004,67.5305341514695,5.749288543953521
2.8000000000000003,65.19598659986096,5.2886165127821725
2.85,64.6070732636672,5.629583908912891
2.9000000000000004,69.13311279439058,5.413942456565346
2.95,64.57541040020071,5.269250813169267
3.0000000000000004,69.50298704877359,5.541947862078116
3.0500000000000003,65.89679004364841,8.242723599746812
