s,lift,drag
0.1,2.4311117929894834,0.8081340068543792
0.15000000000000002,2.161422247461501,1.5336084165337325
0.2,0.9229980682470766,1.860126769441711
0.25,2.936238048799888,1.797020928784392
0.30000000000000004,2.51756545570119,1.5720638358245405
0.35,2.046530220432663,0.3797398123157608
0.4,3.507881978770058,2.30519112351801
0.45000000000000007,1.4486246595393675,1.1565962936448964
0.5,1.2896693897043983,1.9840874769093675
0.55,2.1300582593084916,2.232348912960915
0.6,0.43100339336333937,2.532659569369401
0.65,1.636942578947338,2.0984268965405883
0.7000000000000001,1.8304730181833946,1.7144255638342512
0.75,2.9736969967892373,1.355778198075179
0.8,0.8594106887958267,3.070029899961868
0.85,1.7977013148632162,2.243555395560057
0.9,0.9773067966160869,1.223308267371693
0.95,2.6327726938763463,0.6147853496060405
1,2.169456254895823,2.582980740577829
1.05,0.2676373523517609,2.4348155858080514
1.1,1.1890785825627814,3.1059030943722994
1.15,2.8837964297754652,3.113888315092997
1.2000000000000002,2.4035032582969107,4.097996130514886
1.2500000000000002,1.713073473226495,1.107134395198768
1.3000000000000005,2.1051637891234543,1.1630105390379755
1.35,2.0031828279315977,0.9270334673912557
1.4,2.4784075741456832,1.6946371437728072
1.4500000000000002,2.3865944070561493,2.84102905598097
1.5000000000000002,0.8119516057395744,2.5388149310682953
1.5500000000000005,2.5693955245883418,3.014370144595507
1.6,1.5864969513933267,1.0422535862073907
1.65,2.871956796633099,2.183292800120391
1.7000000000000002,1.9907400051652238,2.600517041665046
1.7500000000000002,1.609411473049872,2.3238444530229376
1.8000000000000005,0.8082749789724943,3.2182950771149224
1.85,1.6205391029965561,1.4861812941301635
1.9,1.8809512238804367,2.717533749363382
1.95,2.0029351630911023,2.3242872348833608
2,2.198643925297673,2.5381423301278865
2.0500000000000003,1.8583151136136031,0.8620015001094998
2.1,2.451119671802227,2.8991435548983526
2.1500000000000004,2.784551311224377,2.803528510133173
2.2,1.5947492190497559,2.3039982866217565
2.25,2.1978936817987806,1.9000665400958971
2.3000000000000003,2.122037159301354,3.5235063785744782
2.35,1.1813713293974182,2.0269823904097644
2.4000000000000004,1.851703076017062,2.539779619579285
2.45,1.6160986597162945,1.7256331644584513
2.5000000000000004,2.7944932165722998,2.0453415200936664
2.5500000000000003,1.6964613532885982,0.02034170686276298
2.6,2.0220814781097247,1.360309141893651
2.6500000000000004,2.154388197640089,3.1889484920983193
2.7,2.703558563611518,1.9301498427934778
2.7500000000000004,3.0605836674997358,1.1052298096628497
2.8000000000000003,0.22779249567441462,0.8804114608356024
2.85,1.5902607788644048,2.489948513917756
2.9000000000000004,1.7049014700977663,1.3293848066913554
2.95,0.8789111860701073,4.372612188254534
3.0000000000000004,2.5248814874112644,3.227773779600814
3.0500000000000003,2.273858012819972,3.1081199494145957
3.1,0.8251743194082836,2.300002673376568
3.1500000000000004,1.0882323281768986,1.246846398964212
3.2,1.8512242109948773,2.437082342264026
3.2500000000000004,0.8228010626789859,2.731506288020241
3.3000000000000003,2.127709168388674,2.1125969947524856
3.35,0.6360128243837956,1.5121743977392212
3.4000000000000004,1.3796219691018292,3.5499782046372195
3.45,3.023483448967251,2.5403112003822583
3.5000000000000004,3.878093971716101,1.8534669516053266
3.5500000000000003,2.3415830898133767,2.2866875899680132
3.6,2.530691126513146,2.7449060333748836
3.65,3.238809072468934,3.095087323758606
3.7,2.1338923717039373,0.6039357935450823
3.75,1.0832783902292524,0.9755934761167124
3.8,1.5294532687675426,2.582057033172091
3.85,1.3043606847940832,2.697861782452974
3.9,0.90953405562192,1.446786226489088
3.95,0.31112393171544184,2.497410376680214
4,1.8735460202657515,0.7637303035698717
4.05,1.4776161419146252,1.802913414618387
4.1,1.9471712378922366,3.0581188003015325
4.1499999999999995,0.7081126796884734,2.2972079578702527
4.2,2.355097230139334,2.831626712485698
4.25,2.0093503483935633,1.3600089036437875
4.3,1.3427261938041961,2.3112479521605547
4.35,1.720315714632803,0.8958084904166226
4.3999999999999995,1.5362180122396851,2.2148080841178435
4.45,2.0015520565925877,1.329881143565406
4.5,0.7876577734907017,0.708857914499951
4.55,2.1791941238455497,1.4434259963277358
4.6,0.9340817873669204,3.8491790529515493
4.6499999999999995,2.5446651704892798,1.7762016067137063
4.7,2.8172522111434724,1.7804248705742483
4.75,1.4530545716070722,1.7444646735593077
4.8,2.5166309888290623,1.5975580206468338
4.85,1.8087308069831425,1.5288246266698502
4.9,0.020250840088737083,2.227409027775591
